Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	CAPPS	LOIS		O	CA23	2008	5/14/2008	8135649
HONORABLE	CAPUANO	MICHAEL E.		O	MA08	2008	5/13/2008	8135650
HONORABLE	CARNAHAN	RUSS		O	MO03	2008	5/15/2008	8135652
HONORABLE	CLEAVER	EMANUEL		O	MO05	2008	5/14/2008	8135662
HONORABLE	COHEN	STEVE		A	TN09	2008	6/11/2008	8138203
HONORABLE	COLE	TOM		O	OK04	2008	5/14/2008	8135666
HONORABLE	CONAWAY	K. MICHAEL		O	TX11	2008	5/15/2008	8135667
HONORABLE	COSTA	JIM		A	CA20	2008	3/31/2009	8139882
HONORABLE	COURTNEY	JOE		O	CT02	2008	5/15/2008	8135678
HONORABLE	CUBIN	BARBARA		A	WY00	2008	6/6/2008	8138010
HONORABLE	CUMMINGS	ELIJAH E.		O	MD07	2008	5/21/2008	8135677
HONORABLE	EDWARDS	CHET		O	TX17	2008	5/15/2008	8135700
HONORABLE	ELLSWORTH	BRAD		O	IN08	2008	5/6/2008	8135740
HONORABLE	ENGLISH	PHIL		O	PA03	2008	5/13/2008	8135707
HONORABLE	FATTAH	CHAKA		A	PA02	2008	7/10/2008	8138830
HONORABLE	GALLEGLY	ELTON		A	CA24	2008	5/19/2008	8135728
HONORABLE	GALLEGLY	ELTON		O	CA24	2008	5/15/2008	8135727
HONORABLE	GARRETT	SCOTT		A	NJ05	2008	6/20/2008	8138712
HONORABLE	GIFFORDS	GABRIELLE		A	AZ08	2008	12/31/2008	8139574
HONORABLE	GILCHREST	WAYNE T.		A	MD01	2008	7/17/2008	8138892
HONORABLE	GINGREY	PHIL		A	GA11	2008	8/15/2008	8139055
HONORABLE	GRAVES	SAM		O	MO06	2008	5/13/2008	8135736
HONORABLE	HINOJOSA	RUBEN		O	TX15	2008	5/14/2008	8135858
HONORABLE	JACKSON	JESSE L.	JR.	A	IL02	2008	1/15/2009	8139606
