Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	DAVIS	GEOFF		T	KY04	2012	8/20/2012	8208957
HONORABLE	DAVIS	SUSAN A.		O	CA53	2012	5/15/2012	8205426
	DELANEY	JOHN K.		O	MD06	2012	3/7/2012	8208014
HONORABLE	ADAMS	SANDY		O	FL24	2012	5/15/2012	8205343
DR.	ADAMS	SUSAN L.		O	CA06	2012	6/4/2012	8208697
HONORABLE	AKIN	W. TODD		A	MO02	2012	11/28/2012	8209486
HONORABLE	ALTMIRE	JASON		A	PA04	2012	6/20/2012	8206425
	ALTSCHULER	RANDOLPH		O	NY01	2012	6/25/2012	8208444
	ALVARADO	MARIA LUISA		O	TX35	2012	8/10/2012	8208526
HONORABLE	AUSTRIA	STEVE		X	OH07	2012	4/27/2012	8206847
HONORABLE	BACHMANN	MICHELE		X	MN06	2012	5/15/2012	8206876
	BALAM	JOEL		D	KS03	2012	5/17/2012	8206165
	BALL	MATTHEW CHRISTIAN		D	CO07	2012	8/1/2012	8208942
HONORABLE	BASS	KAREN		O	CA33	2012	5/15/2012	8205359
	BECK	ERIC		X	NJ11	2012	4/27/2012	8207048
	BEDWELL	DANNY		D	MS01	2012	8/13/2012	8208757
HONORABLE	BENISHEK	DAN		O	MI01	2012	5/15/2012	8205354
	BERGERON	DOUGLAS KEVIN		D	CO05	2012	4/25/2012	8207721
	BERNIER	NICHOLAS DENNIS		W	MA04	2012	8/29/2012	8208789
	BIELAT	SEAN		O	MA04	2012	5/23/2012	8208632
HONORABLE	BIGGERT	JUDY		O	IL13	2012	5/15/2012	8205363
HONORABLE	BILBRAY	BRIAN P.		O	CA50	2012	5/15/2012	8205364
HONORABLE	BLACK	DIANE		R	TN06	2012	11/2/2012	8209407
	BOROWSKY	LISA		D	AZ09	2012	7/3/2012	8207724
	BOTELHO	DANIEL S.		D	MA09	2012	7/18/2012	8206684
	BOTELHO	DANIEL S.		O	MA09	2012	10/22/2012	8209269
HONORABLE	BOUSTANY	CHARLES W.	JR.	X	LA07	2012	5/17/2012	8206880
HONORABLE	BOUSTANY	CHARLES W.	JR.	O	LA07	2012	5/16/2012	8205376
	BREEN	EDWARD FOCKE		O	OH10	2012	1/13/2012	8207887
	BRINKLEY	DAVID ROSS		O	MD06	2012	8/31/2012	8207810
HONORABLE	BROOKS	MO		O	AL05	2012	5/15/2012	8205378
HONORABLE	BROWN	CORRINE		O	FL13	2012	5/15/2012	8205379
	BRYAN	JAMES E.		D	FL01	2012	2/10/2012	8207729
	BURRIS	MICHAEL CRAIG		D	MO05	2012	8/29/2012	8208761
	CABRAL	KRISTIN		O	VA10	2012	5/14/2012	8208394
HONORABLE	CANSECO	FRANCISCO "QUICO"		X	TX23	2012	6/19/2012	8206935
HONORABLE	CAPUANO	MICHAEL E.		O	MA08	2012	5/7/2012	8205390
	CARAWAY	BARBARA LEN MALLORY		O	TX30	2012	5/21/2012	8208613
HONORABLE	CARTER	JOHN R.		O	TX31	2012	5/15/2012	8205394
	CLARK	TARRYL LYNN		X	MN08	2012	5/17/2012	8207070
	CLARKE	BROOKE J.		O	CA02	2012	5/23/2012	8208927
HONORABLE	COFFMAN	MIKE		O	CO06	2012	5/15/2012	8205409
HONORABLE	COHEN	STEVE		A	TN09	2012	7/12/2012	8206593
HONORABLE	COLE	TOM		O	OK04	2012	5/10/2012	8205411
	COLLETT	STEPHEN		O	CA33	2012	1/25/2013	8209716
HONORABLE	CONYERS	JOHN	JR.	O	MI14	2012	7/13/2012	8206595
	COORS	JOSEPH	JR.	O	CO07	2012	2/13/2012	8208208
	COREY	MATTHEW M.		O	CT01	2012	12/13/2012	8209541
	COUTU	CHRISTOPHER D.		W	CT02	2012	5/23/2012	8206947
	CROWE	DAVID		O	AZ03	2012	10/18/2012	8209182
HONORABLE	CROWLEY	JOSEPH		O	NY07	2012	5/15/2012	8205421
HONORABLE	CUELLAR	HENRY		A	TX28	2012	7/17/2012	8206677
	CUNNINGHAM	JOHN A. "JACK"		O	IL11	2012	8/23/2012	8208554
	CURSON	DAVID		D	MI11	2012	9/7/2012	8208762
	ADLER	SHELLEY		O	NJ03	2012	5/11/2012	8208356
	ALLEN	KIM LEE		D	AZ01	2012	3/15/2013	8209984
HONORABLE	AMODEI	MARK E.		O	NV02	2012	5/15/2012	8205348
	ANDREWS	GREGORY A.		O	IN02	2012	5/23/2012	8208961
	ANTENORI	FRANK		W	AZ08	2012	8/8/2012	8208787
	ARNOLD	JOE		O	FL16	2012	4/18/2012	8208184
	ARVANITES	JOHN		O	NJ11	2012	9/6/2012	8208290
HONORABLE	BACA	JOE		O	CA43	2012	5/15/2012	8205350
HONORABLE	BALDWIN	TAMMY		O	WI02	2012	5/14/2012	8205352
HONORABLE	BARLETTA	LOU		O	PA11	2012	5/14/2012	8205353
HONORABLE	BARTON	JOE		O	TX06	2012	5/15/2012	8205356
	BENNETT	PATRICIA A.		W	NJ04	2012	8/8/2012	8207459
HONORABLE	BERG	RICK		X	ND00	2012	5/15/2012	8206878
	BERNS	JAMES (JIM) A.		D	OH01	2012	4/30/2012	8207722
	BHALLA	RANJIT (RON)		O	TN03	2012	9/6/2012	8208291
	BLAS	FRANK FLORES	JR.	O	GU00	2012	3/7/2012	8208207
